gcc_size,relative_gcc,n_components,total_weight,relative_weight,instance,fraction
7732,0.7477033168939174,3,310605.75504900014,0.385473813342426,instance_0006,0.25
7215,0.697708152016246,3,261697.92645198235,0.32477729730840704,instance_0006,0.3
7904,0.95,1,421417.3879276972,0.8108341416773952,instance_0007,0.05
7488,0.9,1,349987.38645358424,0.673398227558886,instance_0007,0.1
7072,0.85,1,292051.3016935103,0.5619254765421597,instance_0007,0.15
6656,0.8,1,243813.93901220552,0.4691136902065006,instance_0007,0.2
6240,0.75,1,202988.7594841035,0.3905634206880213,instance_0007,0.25
5824,0.7,1,168355.2797383334,0.32392637953256476,instance_0007,0.3
2076,0.9501144164759725,1,102985.2480055186,0.7832994151121326,instance_0008,0.05
1967,0.9002288329519451,1,84028.97327165848,0.6391191640635372,instance_0008,0.1
1857,0.8498855835240274,1,67808.93509411311,0.5157505587183626,instance_0008,0.15
1748,0.8,1,55967.177556094095,0.42568288462844894,instance_0008,0.2
1639,0.7501144164759725,1,46751.04728209354,0.3555855688183728,instance_0008,0.25
1529,0.6997711670480549,1,39091.7629139726,0.297329526502437,instance_0008,0.3
66,0.9428571428571428,1,31.227059028817536,0.6779282323601343,instance_0009,0.05
63,0.9,1,25.563643384749177,0.5549775134608343,instance_0009,0.1
60,0.8571428571428571,1,22.639303779865134,0.49149115128595733,instance_0009,0.15
54,0.7714285714285715,3,17.859264162618576,0.3877182085525128,instance_0009,0.2
48,0.6857142857142857,4,13.95432029712303,0.3029432801880472,instance_0009,0.25
43,0.6142857142857143,6,10.676735673335145,0.23178809556548127,instance_0009,0.3
1522,0.9500624219725343,1,11126.792833296488,0.803752573730344,instance_0010,0.05
1442,0.9001248439450686,1,9147.41304343488,0.660770528110667,instance_0010,0.1
1362,0.850187265917603,1,7557.379305786004,0.5459131987705342,instance_0010,0.15
1282,0.8002496878901373,1,6257.031179633152,0.4519815359095892,instance_0010,0.2
1202,0.7503121098626716,1,5170.664934613957,0.3735070214174148,instance_0010,0.25
1121,0.6997503121098627,1,4227.9618983123455,0.3054101310517164,instance_0010,0.3
978,0.9504373177842566,1,5841.157014202163,0.804891401411043,instance_0011,0.05
926,0.8999028182701652,1,4806.173006072058,0.662274155081868,instance_0011,0.1
875,0.8503401360544217,1,3962.556965669449,0.5460267583141512,instance_0011,0.15
823,0.7998056365403304,1,3247.278504761817,0.4474638398034398,instance_0011,0.2
772,0.750242954324587,1,2647.4053293391385,0.3648033737928712,instance_0011,0.25
720,0.6997084548104956,1,2129.894233522158,0.2934921198503527,instance_0011,0.3
126,0.9473684210526315,1,109.75465122871401,0.7079671702395688,instance_0012,0.05
120,0.9022556390977443,1,91.79025129805824,0.5920886608408624,instance_0012,0.1
113,0.849624060150376,1,77.88892018447223,0.5024187840668931,instance_0012,0.15
105,0.7894736842105263,2,62.27334649246606,0.40169126687621604,instance_0012,0.2
98,0.7368421052631579,3,55.56693387081532,0.3584318704583369,instance_0012,0.25
91,0.6842105263157895,3,44.41714862573637,0.286510709757019,instance_0012,0.3
7956,0.9499701492537314,1,124599.49582824411,0.8155788702943936,instance_0013,0.05
7537,0.8999402985074627,1,104259.03584921274,0.6824382884590192,instance_0013,0.1
7119,0.8500298507462687,1,88216.17322509662,0.5774280740252393,instance_0013,0.15
6700,0.8,1,74708.67357048934,0.4890133397955577,instance_0013,0.2
6281,0.7499701492537313,1,64181.57187425299,0.42010710825890946,instance_0013,0.25
5863,0.7000597014925373,1,54704.469728965734,0.3580737572414017,instance_0013,0.3
11782,0.9500080632156104,1,294449.91667053296,0.8117929503420463,instance_0014,0.05
11162,0.9000161264312208,1,248833.75871783047,0.6860300502658073,instance_0014,0.1
10542,0.8500241896468311,1,211867.04174653185,0.5841134982969098,instance_0014,0.15
9922,0.8000322528624415,1,181177.90038422387,0.4995041056651295,instance_0014,0.2
9302,0.7500403160780519,1,155041.53452090945,0.42744663050836207,instance_0014,0.25
8681,0.6999677471375585,1,133165.47352643163,0.3671347367324148,instance_0014,0.3
6994,0.9493688068413194,2,108228.81886226857,0.8138197763387454,instance_0015,0.05
6625,0.8992805755395683,2,90513.7547667455,0.6806124693423348,instance_0015,0.1
6257,0.8493280847020497,2,76157.94313236773,0.5726648493251723,instance_0015,0.15
5889,0.799375593864531,2,64913.15111381934,0.4881103450654836,instance_0015,0.2
5520,0.74928736256278,2,54951.643099702356,0.41320541392729887,instance_0015,0.25
5152,0.6993348717252613,2,46721.77288012539,0.35132142395309063,instance_0015,0.3
1053,0.9503610108303249,1,11957.459605549497,0.8127637210122894,instance_0016,0.05
997,0.8998194945848376,1,9924.215745956144,0.6745615526954063,instance_0016,0.1
937,0.8456678700361011,2,8321.683408149522,0.5656353937214927,instance_0016,0.15
881,0.7951263537906137,2,6962.735819323435,0.4732659996035009,instance_0016,0.2
826,0.7454873646209387,2,5972.858176296528,0.4059827585946803,instance_0016,0.25
771,0.6958483754512635,2,5104.807419210477,0.34698024580096287,instance_0016,0.3
379,0.9088729016786571,4,1749.581346314126,0.8212183990732079,instance_0017,0.05
358,0.8585131894484412,4,1499.5972811441654,0.703880891888887,instance_0017,0.1
337,0.8081534772182254,4,1270.508065311599,0.5963510079727729,instance_0017,0.15
317,0.7601918465227818,4,1074.0169261680871,0.5041220075553585,instance_0017,0.2
296,0.709832134292566,4,900.9507001168765,0.42288819159656665,instance_0017,0.25
275,0.6594724220623501,4,766.8705039241804,0.3599536362546522,instance_0017,0.3
2548,0.9500372856077554,1,57558.96359631178,0.8426231884453419,instance_0018,0.05
2414,0.9000745712155108,1,49295.438882395254,0.7216509348260395,instance_0018,0.1
2280,0.8501118568232662,1,42440.54217330126,0.62130001534127,instance_0018,0.15
2146,0.8001491424310216,1,37243.25052244285,0.5452152808620119,instance_0018,0.2
2012,0.750186428038777,1,32019.18690539337,0.46873862342057027,instance_0018,0.25
1877,0.6998508575689784,1,28212.670570850718,0.4130138721346189,instance_0018,0.3
2112,0.9357554275587062,4,40399.073106015785,0.7970368651153199,instance_0019,0.05
1999,0.8856889676561808,4,33261.03081641333,0.6562098012211699,instance_0019,0.1
1886,0.8356225077536553,4,27576.803228910347,0.5440651754012583,instance_0019,0.15
1774,0.7859991138679663,4,22776.51607242357,0.4493598880591626,instance_0019,0.2
1661,0.7359326539654408,4,18931.15894962133,0.37349449930719214,instance_0019,0.25
1548,0.6858661940629154,4,15805.933441237386,0.31183665048862974,instance_0019,0.3
5,1.0,1,9.2,1.0,instance_0020,0.05
5,1.0,1,9.2,1.0,instance_0020,0.1
4,0.8,1,5.4,0.5869565217391305,instance_0020,0.15
4,0.8,1,5.4,0.5869565217391305,instance_0020,0.2
4,0.8,1,5.4,0.5869565217391305,instance_0020,0.25
3,0.6,1,2.6,0.28260869565217395,instance_0020,0.3
